Bet365,Skybet,Ladbrokes,William Hill,Marathon Bet,Betfair Sportsbook,Bet Victor,Paddy Power,Unibet,Coral,Betfred,Betway,Black Type,Sport Nation,Boyle Sports,SportPesa,10Bet,Sportingbet,Bethard,888sport,MoPlay,Spreadex,Royal Panda,Redzone,X,Betfair,Betdaq,Matchbook,Smarkets
7/2,4,,7/2,,4,4,4,4,,7/2,7/2,,7/2,7/2,7/2,7/2,,7/2,,7/2,7/2,,7/2,,23/5,19/10,21/10,21/5
66,100,,66,,35,50,35,80,,66,33,,50,66,50,50,,50,,50,66,,50,,92,,,92
12,12,,12,,7,11,7,12,,10,11,,9,11,9,9,,9,,9,11,,9,,56/5,7/2,,56/5
100,100,,100,,100,100,100,200,,150,100,,100,100,100,100,,100,,100,100,,100,,430,,,293
50,40,,66,,60,50,60,50,,80,50,,50,50,50,50,,50,,50,,,50,,68,,,68
16,16,,16,,14,14,14,20,,25,16,,16,16,16,16,,16,,16,16,,16,,30,20/21,19/10,28
80,100,,100,,100,80,100,100,,66,80,,80,100,80,80,,80,,80,100,,80,,97,,,92
66,66,,50,,25,66,25,50,,66,50,,50,66,50,50,,50,,50,,,50,,156,14/5,,156
12,12,,14,,10,16,10,14,,12,12,,11,12,11,11,,11,,11,12,,11,,61/5,19/10,7/2,49/5
,150,,100,,75,,75,,,150,,,80,100,80,80,,80,,80,100,,80,,156,,,146
4/5,10/11,,4/5,,5/6,8/11,5/6,22/25,,4/5,4/5,,5/6,4/5,5/6,5/6,,5/6,,5/6,4/5,,5/6,,20/21,,,20/21
16,16,,14,,12,16,12,14,,16,14,,14,14,14,14,,14,,14,14,,14,,25,14/5,,93/5
