Bet365,Skybet,Ladbrokes,William Hill,Marathon Bet,Betfair Sportsbook,Bet Victor,Paddy Power,Unibet,Coral,Betfred,Betway,Black Type,Sport Nation,Boyle Sports,SportPesa,10Bet,Sportingbet,Bethard,888sport,MoPlay,Spreadex,Royal Panda,Redzone,X,Betfair,Betdaq,Matchbook,Smarkets
4,4,4,7/2,,4,4,4,9/2,4,7/2,7/2,,7/2,4,7/2,7/2,4,7/2,9/2,7/2,4,,7/2,,24/5,19/10,21/10,4
66,66,66,66,,66,50,66,80,66,66,33,,50,66,50,50,66,50,80,50,66,,50,,92,,,92
8,9,8,12,,11,11,11,10,8,10,9,,9,9,9,9,8,9,10,9,9,,9,,54/5,7/2,,51/5
100,100,100,100,,100,100,100,200,100,150,100,,100,100,100,100,,100,200,100,100,,100,,979,,,979
50,50,66,66,,66,50,66,66,66,80,50,,50,50,50,50,66,50,66,50,,,50,,73,,,68
20,22,25,16,,20,14,20,25,25,25,16,,16,20,16,16,25,16,25,16,20,,16,,38,20/21,19/10,38
80,100,100,100,,100,80,100,100,100,66,80,,80,100,80,80,100,80,100,80,100,,80,,82,,,77
66,66,100,50,,80,66,80,50,100,66,50,,50,75,50,50,100,50,50,50,,,50,,264,14/5,,264
8,12,10,12,,9,16,9,10,10,12,12,,11,10,11,11,10,11,10,11,10,,11,,61/5,19/10,7/2,54/5
,150,100,100,,100,,100,,100,150,,,80,100,80,80,,80,,80,100,,80,,175,,,166
10/11,10/11,1,4/5,,10/11,8/11,10/11,41/50,1,4/5,4/5,,5/6,10/11,5/6,5/6,1,5/6,41/50,5/6,10/11,,5/6,,20/21,,,1
16,20,20,16,,14,16,14,17,20,16,14,,14,16,14,14,20,14,17,14,16,,14,,25,14/5,,20
